index, frame, sample, time, raw[0], cal[0]
0,10,0,0.005,1669,3.15
1,10,1,0.01,1669,3.15
2,11,0,0.015,1669,3.15
3,11,1,0.02,1669,3.15
4,12,0,0.025,1670,3.14167
5,12,1,0.03,1669,3.15
6,13,0,0.035,1670,3.14167
7,13,1,0.04,1671,3.13333
8,14,0,0.045,1674,3.10833
9,14,1,0.05,1677,3.08333
10,15,0,0.055,1679,3.06667
11,15,1,0.06,1682,3.04167
12,16,0,0.065,1684,3.025
13,16,1,0.07,1685,3.01667
14,17,0,0.075,1686,3.00833
15,17,1,0.08,1686,3.00833
16,18,0,0.085,1685,3.01667
17,18,1,0.09,1684,3.025
18,19,0,0.095,1684,3.025
19,19,1,0.1,1688,2.99167
20,20,0,0.105,1704,2.85833
21,20,1,0.11,1726,2.675
22,21,0,0.115,1750,2.475
23,21,1,0.12,1769,2.31667
24,22,0,0.125,1780,2.225
25,22,1,0.13,1787,2.16667
26,23,0,0.135,1787,2.16667
27,23,1,0.14,1780,2.225
28,24,0,0.145,1772,2.29167
29,24,1,0.15,1758,2.40833
30,25,0,0.155,1741,2.55
31,25,1,0.16,1732,2.625
32,26,0,0.165,1725,2.68333
33,26,1,0.17,1725,2.68333
34,27,0,0.175,1737,2.58333
35,27,1,0.18,1747,2.5
36,28,0,0.185,1758,2.40833
37,28,1,0.19,1767,2.33333
38,29,0,0.195,1774,2.275
39,29,1,0.2,1774,2.275
40,30,0,0.205,1768,2.325
41,30,1,0.21,1764,2.35833
42,31,0,0.215,1751,2.46667
43,31,1,0.22,1742,2.54167
44,32,0,0.225,1740,2.55833
45,32,1,0.23,1733,2.61667
46,33,0,0.235,1742,2.54167
47,33,1,0.24,1745,2.51667
48,34,0,0.245,1750,2.475
49,34,1,0.25,1760,2.39167
50,35,0,0.255,1763,2.36667
51,35,1,0.26,1766,2.34167
52,36,0,0.265,1770,2.30833
53,36,1,0.27,1765,2.35
54,37,0,0.275,1757,2.41667
55,37,1,0.28,1751,2.46667
56,38,0,0.285,1749,2.48333
57,38,1,0.29,1746,2.50833
58,39,0,0.295,1745,2.51667
59,39,1,0.3,1753,2.45
60,40,0,0.305,1751,2.46667
61,40,1,0.31,1752,2.45833
62,41,0,0.315,1757,2.41667
63,41,1,0.32,1756,2.425
64,42,0,0.325,1755,2.43333
65,42,1,0.33,1761,2.38333
66,43,0,0.335,1755,2.43333
67,43,1,0.34,1754,2.44167
68,44,0,0.345,1758,2.40833
69,44,1,0.35,1753,2.45
70,45,0,0.355,1755,2.43333
71,45,1,0.36,1756,2.425
72,46,0,0.365,1752,2.45833
73,46,1,0.37,1753,2.45
74,47,0,0.375,1755,2.43333
75,47,1,0.38,1755,2.43333
76,48,0,0.385,1756,2.425
77,48,1,0.39,1755,2.43333
78,49,0,0.395,1756,2.425
79,49,1,0.4,1755,2.43333
80,50,0,0.405,1753,2.45
81,50,1,0.41,1750,2.475
82,51,0,0.415,1752,2.45833
83,51,1,0.42,1752,2.45833
84,52,0,0.425,1750,2.475
85,52,1,0.43,1752,2.45833
86,53,0,0.435,1755,2.43333
87,53,1,0.44,1752,2.45833
88,54,0,0.445,1753,2.45
89,54,1,0.45,1753,2.45
90,55,0,0.455,1756,2.425
91,55,1,0.46,1755,2.43333
92,56,0,0.465,1752,2.45833
93,56,1,0.47,1754,2.44167
94,57,0,0.475,1754,2.44167
95,57,1,0.48,1754,2.44167
96,58,0,0.485,1757,2.41667
97,58,1,0.49,1751,2.46667
98,59,0,0.495,1757,2.41667
99,59,1,0.5,1775,2.26667
100,60,0,0.505,1794,2.10833
101,60,1,0.51,1813,1.95
102,61,0,0.515,1823,1.86667
103,61,1,0.52,1826,1.84167
104,62,0,0.525,1828,1.825
105,62,1,0.53,1826,1.84167
106,63,0,0.535,1828,1.825
107,63,1,0.54,1827,1.83333
108,64,0,0.545,1828,1.825
109,64,1,0.55,1828,1.825
110,65,0,0.555,1874,1.44167
111,65,1,0.56,776,10.5917
112,66,0,0.565,2764,-5.975
113,66,1,0.57,1630,3.475
114,67,0,0.575,1361,5.71667
115,67,1,0.58,2699,-5.43333
116,68,0,0.585,1122,7.70833
117,68,1,0.59,2129,-0.683333
118,69,0,0.595,2078,-0.258333
119,69,1,0.6,1256,6.59167
120,70,0,0.605,2448,-3.34167
121,70,1,0.61,1535,4.26667
122,71,0,0.615,1731,2.63333
123,71,1,0.62,2239,-1.6
124,72,0,0.625,1406,5.34167
125,72,1,0.63,2095,-0.4
126,73,0,0.635,1907,1.16667
127,73,1,0.64,1559,4.06667
128,74,0,0.645,2146,-0.825
129,74,1,0.65,1681,3.05
130,75,0,0.655,1775,2.26667
131,75,1,0.66,2048,-0.00833333
132,76,0,0.665,1618,3.575
133,76,1,0.67,1930,0.975
134,77,0,0.675,1921,1.05
135,77,1,0.68,1594,3.775
136,78,0,0.685,2107,-0.5
137,78,1,0.69,1699,2.9
138,79,0,0.695,1782,2.20833
139,79,1,0.7,2021,0.216667
140,80,0,0.705,1639,3.4
141,80,1,0.71,1917,1.08333
142,81,0,0.715,1903,1.2
143,81,1,0.72,1661,3.21667
144,82,0,0.725,1961,0.716667
145,82,1,0.73,1772,2.29167
146,83,0,0.735,1734,2.60833
147,83,1,0.74,1992,0.458333
148,84,0,0.745,1706,2.84167
149,84,1,0.75,1853,1.61667
150,85,0,0.755,1918,1.075
151,85,1,0.76,1704,2.85833
152,86,0,0.765,1918,1.075
153,86,1,0.77,1829,1.81667
154,87,0,0.775,1755,2.43333
155,87,1,0.78,1924,1.025
156,88,0,0.785,1769,2.31667
157,88,1,0.79,1816,1.925
158,89,0,0.795,1899,1.23333
159,89,1,0.8,1737,2.58333
160,90,0,0.805,1868,1.49167
161,90,1,0.81,1843,1.7
162,91,0,0.815,1762,2.375
163,91,1,0.82,1883,1.36667
164,92,0,0.825,1814,1.94167
165,92,1,0.83,1786,2.175
166,93,0,0.835,1878,1.40833
167,93,1,0.84,1794,2.10833
168,94,0,0.845,1827,1.83333
169,94,1,0.85,1865,1.51667
170,95,0,0.855,1789,2.15
171,95,1,0.86,1831,1.8
172,96,0,0.865,1841,1.71667
173,96,1,0.87,1792,2.125
174,97,0,0.875,1839,1.73333
175,97,1,0.88,1830,1.80833
176,98,0,0.885,1802,2.04167
177,98,1,0.89,1833,1.78333
178,99,0,0.895,1823,1.86667
179,99,1,0.9,1814,1.94167
180,100,0,0.905,1829,1.81667
181,100,1,0.91,1823,1.86667
182,101,0,0.915,1815,1.93333
183,101,1,0.92,1828,1.825
184,102,0,0.925,1822,1.875
185,102,1,0.93,1823,1.86667
186,103,0,0.935,1825,1.85
187,103,1,0.94,1822,1.875
188,104,0,0.945,1822,1.875
189,104,1,0.95,1825,1.85
190,105,0,0.955,1838,1.74167
191,105,1,0.96,1840,1.725
192,106,0,0.965,1843,1.7
193,106,1,0.97,1850,1.64167
194,107,0,0.975,1851,1.63333
195,107,1,0.98,1871,1.46667
196,108,0,0.985,1872,1.45833
197,108,1,0.99,1866,1.50833
198,109,0,0.995,1856,1.59167
199,109,1,1,1844,1.69167
200,110,0,1.005,1841,1.71667
201,110,1,1.01,1832,1.79167
202,111,0,1.015,1824,1.85833
203,111,1,1.02,1821,1.88333
204,112,0,1.025,1824,1.85833
205,112,1,1.03,1828,1.825
206,113,0,1.035,1832,1.79167
207,113,1,1.04,1833,1.78333
208,114,0,1.045,1836,1.75833
209,114,1,1.05,1838,1.74167
210,115,0,1.055,1834,1.775
211,115,1,1.06,1835,1.76667
212,116,0,1.065,1834,1.775
213,116,1,1.07,1834,1.775
214,117,0,1.075,1833,1.78333
215,117,1,1.08,1832,1.79167
216,118,0,1.085,1829,1.81667
217,118,1,1.09,1829,1.81667
218,119,0,1.095,1827,1.83333
219,119,1,1.1,1827,1.83333
220,120,0,1.105,1829,1.81667
221,120,1,1.11,1830,1.80833
222,121,0,1.115,1829,1.81667
223,121,1,1.12,1827,1.83333
224,122,0,1.125,1825,1.85
225,122,1,1.13,1826,1.84167
226,123,0,1.135,1825,1.85
227,123,1,1.14,1826,1.84167
228,124,0,1.145,1827,1.83333
229,124,1,1.15,1828,1.825
230,125,0,1.155,1830,1.80833
231,125,1,1.16,1832,1.79167
232,126,0,1.165,1832,1.79167
233,126,1,1.17,1831,1.8
234,127,0,1.175,1831,1.8
235,127,1,1.18,1830,1.80833
236,128,0,1.185,1829,1.81667
237,128,1,1.19,1829,1.81667
238,129,0,1.195,1828,1.825
239,129,1,1.2,1828,1.825
240,130,0,1.205,1826,1.84167
241,130,1,1.21,1826,1.84167
242,131,0,1.215,1827,1.83333
243,131,1,1.22,1827,1.83333
244,132,0,1.225,1827,1.83333
245,132,1,1.23,1827,1.83333
246,133,0,1.235,1828,1.825
247,133,1,1.24,1829,1.81667
248,134,0,1.245,1831,1.8
249,134,1,1.25,1831,1.8
250,135,0,1.255,1830,1.80833
251,135,1,1.26,1830,1.80833
252,136,0,1.265,1829,1.81667
253,136,1,1.27,1829,1.81667
254,137,0,1.275,1828,1.825
255,137,1,1.28,1828,1.825
256,138,0,1.285,1828,1.825
257,138,1,1.29,1826,1.84167
258,139,0,1.295,1826,1.84167
259,139,1,1.3,1827,1.83333
260,140,0,1.305,1827,1.83333
261,140,1,1.31,1828,1.825
262,141,0,1.315,1828,1.825
263,141,1,1.32,1829,1.81667
264,142,0,1.325,1829,1.81667
265,142,1,1.33,1830,1.80833
266,143,0,1.335,1830,1.80833
267,143,1,1.34,1830,1.80833
268,144,0,1.345,1829,1.81667
269,144,1,1.35,1829,1.81667
270,145,0,1.355,1828,1.825
271,145,1,1.36,1828,1.825
272,146,0,1.365,1827,1.83333
273,146,1,1.37,1827,1.83333
274,147,0,1.375,1827,1.83333
275,147,1,1.38,1828,1.825
276,148,0,1.385,1828,1.825
277,148,1,1.39,1828,1.825
278,149,0,1.395,1828,1.825
279,149,1,1.4,1829,1.81667
280,150,0,1.405,1829,1.81667
281,150,1,1.41,1829,1.81667
282,151,0,1.415,1829,1.81667
283,151,1,1.42,1830,1.80833
284,152,0,1.425,1829,1.81667
285,152,1,1.43,1829,1.81667
286,153,0,1.435,1828,1.825
287,153,1,1.44,1828,1.825
288,154,0,1.445,1828,1.825
289,154,1,1.45,1827,1.83333
290,155,0,1.455,1828,1.825
291,155,1,1.46,1827,1.83333
292,156,0,1.465,1828,1.825
293,156,1,1.47,1828,1.825
294,157,0,1.475,1829,1.81667
295,157,1,1.48,1829,1.81667
296,158,0,1.485,1830,1.80833
297,158,1,1.49,1830,1.80833
298,159,0,1.495,1830,1.80833
299,159,1,1.5,1829,1.81667
300,160,0,1.505,1829,1.81667
301,160,1,1.51,1829,1.81667
302,161,0,1.515,1829,1.81667
303,161,1,1.52,1828,1.825
304,162,0,1.525,1828,1.825
305,162,1,1.53,1828,1.825
306,163,0,1.535,1827,1.83333
307,163,1,1.54,1828,1.825
308,164,0,1.545,1828,1.825
309,164,1,1.55,1828,1.825
