index, frame, sample, time, raw[0], cal[0]
0,10,0,0.005,1682,-2.07191
1,10,1,0.01,1682,-2.07191
2,11,0,0.015,1682,-2.07191
3,11,1,0.02,1682,-2.07191
4,12,0,0.025,1682,-2.07191
5,12,1,0.03,1682,-2.07191
6,13,0,0.035,1682,-2.07191
7,13,1,0.04,1683,-2.05658
8,14,0,0.045,1684,-2.04124
9,14,1,0.05,1685,-2.02591
10,15,0,0.055,1686,-2.01058
11,15,1,0.06,1687,-1.99525
12,16,0,0.065,1688,-1.97991
13,16,1,0.07,1689,-1.96458
14,17,0,0.075,1688,-1.97991
15,17,1,0.08,1688,-1.97991
16,18,0,0.085,1688,-1.97991
17,18,1,0.09,1688,-1.97991
18,19,0,0.095,1688,-1.97991
19,19,1,0.1,1690,-1.94925
20,20,0,0.105,1706,-1.70393
21,20,1,0.11,1723,-1.44327
22,21,0,0.115,1742,-1.15195
23,21,1,0.12,1753,-0.983287
24,22,0,0.125,1761,-0.860626
25,22,1,0.13,1763,-0.82996
26,23,0,0.135,1761,-0.860626
27,23,1,0.14,1757,-0.921957
28,24,0,0.145,1748,-1.05995
29,24,1,0.15,1735,-1.25928
30,25,0,0.155,1725,-1.4126
31,25,1,0.16,1720,-1.48927
32,26,0,0.165,1716,-1.5506
33,26,1,0.17,1721,-1.47393
34,27,0,0.175,1730,-1.33594
35,27,1,0.18,1736,-1.24394
36,28,0,0.185,1747,-1.07528
37,28,1,0.19,1754,-0.967955
38,29,0,0.195,1755,-0.952622
39,29,1,0.2,1753,-0.983287
40,30,0,0.205,1750,-1.02929
41,30,1,0.21,1744,-1.12128
42,31,0,0.215,1734,-1.27461
43,31,1,0.22,1733,-1.28994
44,32,0,0.225,1726,-1.39727
45,32,1,0.23,1726,-1.39727
46,33,0,0.235,1728,-1.36661
47,33,1,0.24,1731,-1.32061
48,34,0,0.245,1744,-1.12128
49,34,1,0.25,1745,-1.10595
50,35,0,0.255,1748,-1.05995
51,35,1,0.26,1752,-0.99862
52,36,0,0.265,1750,-1.02929
53,36,1,0.27,1743,-1.13661
54,37,0,0.275,1743,-1.13661
55,37,1,0.28,1734,-1.27461
56,38,0,0.285,1739,-1.19795
57,38,1,0.29,1734,-1.27461
58,39,0,0.295,1734,-1.27461
59,39,1,0.3,1737,-1.22861
60,40,0,0.305,1738,-1.21328
61,40,1,0.31,1739,-1.19795
62,41,0,0.315,1742,-1.15195
63,41,1,0.32,1742,-1.15195
64,42,0,0.325,1740,-1.18261
65,42,1,0.33,1741,-1.16728
66,43,0,0.335,1742,-1.15195
67,43,1,0.34,1742,-1.15195
68,44,0,0.345,1740,-1.18261
69,44,1,0.35,1738,-1.21328
70,45,0,0.355,1740,-1.18261
71,45,1,0.36,1740,-1.18261
72,46,0,0.365,1741,-1.16728
73,46,1,0.37,1741,-1.16728
74,47,0,0.375,1737,-1.22861
75,47,1,0.38,1738,-1.21328
76,48,0,0.385,1741,-1.16728
77,48,1,0.39,1739,-1.19795
78,49,0,0.395,1741,-1.16728
79,49,1,0.4,1741,-1.16728
80,50,0,0.405,1740,-1.18261
81,50,1,0.41,1740,-1.18261
82,51,0,0.415,1739,-1.19795
83,51,1,0.42,1738,-1.21328
84,52,0,0.425,1738,-1.21328
85,52,1,0.43,1739,-1.19795
86,53,0,0.435,1739,-1.19795
87,53,1,0.44,1739,-1.19795
88,54,0,0.445,1740,-1.18261
89,54,1,0.45,1740,-1.18261
90,55,0,0.455,1741,-1.16728
91,55,1,0.46,1741,-1.16728
92,56,0,0.465,1741,-1.16728
93,56,1,0.47,1742,-1.15195
94,57,0,0.475,1740,-1.18261
95,57,1,0.48,1739,-1.19795
96,58,0,0.485,1738,-1.21328
97,58,1,0.49,1742,-1.15195
98,59,0,0.495,1755,-0.952622
99,59,1,0.5,1772,-0.691966
100,60,0,0.505,1797,-0.308648
101,60,1,0.51,1821,0.0593375
102,61,0,0.515,1841,0.365992
103,61,1,0.52,1840,0.350659
104,62,0,0.525,1836,0.289328
105,62,1,0.53,1835,0.273996
106,63,0,0.535,1832,0.227997
107,63,1,0.54,1829,0.181999
108,64,0,0.545,1826,0.136001
109,64,1,0.55,1823,0.090003
110,65,0,0.555,1820,0.0440048
111,65,1,0.56,1816,-0.017326
112,66,0,0.565,1815,-0.0326588
113,66,1,0.57,1813,-0.0633242
114,67,0,0.575,1812,-0.0786569
115,67,1,0.58,1811,-0.0939896
116,68,0,0.585,1809,-0.124655
117,68,1,0.59,1781,-0.553971
118,69,0,0.595,1814,-0.0479915
119,69,1,0.6,1812,-0.0786569
120,70,0,0.605,1803,-0.216651
121,70,1,0.61,1798,-0.293315
122,71,0,0.615,1794,-0.354646
123,71,1,0.62,1799,-0.277982
124,72,0,0.625,1788,-0.446642
125,72,1,0.63,1807,-0.155321
126,73,0,0.635,1773,-0.676633
127,73,1,0.64,1795,-0.339313
128,74,0,0.645,1791,-0.400644
