index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
93,104,0,0.9447,-475,-0.4748,0,0.039801,-1,-0.504038
94,105,0,0.95475,-474,-0.4742,1,0.0597015,1,-0.558042
95,106,0,0.9648,-474,-0.4738,0,0.039801,-1,-0.648049
96,107,0,0.97485,-473,-0.4734,1,0.039801,1,-0.684051
97,108,0,0.9849,-473,-0.4732,0,0.0199005,-1,-0.66605
98,109,0,0.99495,-473,-0.473,0,0.0199005,0,-0.594045
99,110,0,1.005,-473,-0.473,0,0,0,-0.576043
100,111,0,1.01505,-473,-0.473,0,0,0,-0.414031
101,112,0,1.0251,-473,-0.473,0,0,0,-0.306023
102,113,0,1.03515,-473,-0.473,0,0,0,-0.162012
103,114,0,1.0452,-473,-0.473,0,0,0,-0.180014
104,115,0,1.05525,-473,-0.473,0,0,0,-0.162012
105,116,0,1.0653,-473,-0.473,0,0,0,-0.216016
106,117,0,1.07535,-473,-0.473,0,0,0,-0.252019
107,118,0,1.0854,-473,-0.473,0,0,0,-0.27002
108,119,0,1.09545,-473,-0.4732,0,-0.0199005,0,-0.27002
109,120,0,1.1055,-473,-0.4734,0,-0.0199005,0,-0.252019
110,121,0,1.11555,-474,-0.4736,-1,-0.0199005,-1,-0.216016
111,122,0,1.1256,-474,-0.4738,0,-0.0199005,1,-0.162012
112,123,0,1.13565,-474,-0.474,0,-0.0199005,0,-0.0900068
113,124,0,1.1457,-474,-0.4742,0,-0.0199005,0,0.0900068
114,125,0,1.15575,-474,-0.4744,0,-0.0199005,0,0.162012
115,126,0,1.1658,-475,-0.4746,-1,-0.0199005,-1,0.216016
116,127,0,1.17585,-475,-0.4748,0,-0.0199005,1,0.252019
117,128,0,1.1859,-475,-0.475,0,-0.0199005,0,0.27002
118,129,0,1.19595,-475,-0.475,0,0,0,0.27002
119,130,0,1.206,-475,-0.475,0,0,0,0.252019
120,131,0,1.21605,-475,-0.475,0,0,0,0.216016
121,132,0,1.2261,-475,-0.475,0,0,0,0.162012
122,133,0,1.23615,-475,-0.475,0,0,0,0.0900068
123,134,0,1.2462,-475,-0.475,0,0,0,0
124,135,0,1.25625,-475,-0.475,0,0,0,0
125,136,0,1.2663,-475,-0.475,0,0,0,0
126,137,0,1.27635,-475,-0.475,0,0,0,0
127,138,0,1.2864,-475,-0.475,0,0,0,0
128,139,0,1.29645,-475,-0.475,0,0,0,0
129,140,0,1.3065,-475,-0.475,0,0,0,0
130,141,0,1.31655,-475,-0.475,0,0,0,0
131,142,0,1.3266,-475,-0.475,0,0,0,0
132,143,0,1.33665,-475,-0.475,0,0,0,0
133,144,0,1.3467,-475,-0.475,0,0,0,0
134,145,0,1.35675,-475,-0.475,0,0,0,0
135,146,0,1.3668,-475,-0.475,0,0,0,0
136,147,0,1.37685,-475,-0.475,0,0,0,0
137,148,0,1.3869,-475,-0.475,0,0,0,0
138,149,0,1.39695,-475,-0.475,0,0,0,0
139,150,0,1.407,-475,-0.475,0,0,0,0
140,151,0,1.41705,-475,-0.475,0,0,0,0
141,152,0,1.4271,-475,-0.475,0,0,0,0
142,153,0,1.43715,-475,-0.475,0,0,0,0
143,154,0,1.4472,-475,-0.475,0,0,0,0
144,155,0,1.45725,-475,-0.475,0,0,0,0
145,156,0,1.4673,-475,-0.475,0,0,0,0
146,157,0,1.47735,-475,-0.475,0,0,0,0
147,158,0,1.4874,-475,-0.475,0,0,0,0
148,159,0,1.49745,-475,-0.475,0,0,0,0
