Time,Potential Energy,Kinetic Energy,Total Energy
0.01005,1.01116575,0.0,1.01116575
0.0201,1.01116575,0.0,1.01116575
0.03015,1.01116575,0.0,1.01116575
0.0402,1.01116575,0.0,1.01116575
0.05025,1.01116575,0.0,1.01116575
0.0603,1.01116575,0.0,1.01116575
0.07035,1.01116575,0.0,1.01116575
0.0804,1.01116575,0.0,1.01116575
0.09045,1.01116575,0.0,1.01116575
0.1005,1.01116575,0.0,1.01116575
0.11055,1.01116575,0.0,1.01116575
0.1206,1.01116575,0.0,1.01116575
0.13065,1.01116575,0.0,1.01116575
0.1407,1.01116575,0.0,1.01116575
0.15075,1.01116575,0.0,1.01116575
0.1608,1.01116575,0.0,1.01116575
0.17085,1.01116575,0.0,1.01116575
0.1809,1.01116575,0.0,1.01116575
0.19095,1.01116575,0.0,1.01116575
0.201,1.01116575,0.0,1.01116575
0.21105,1.010739996,8.593848835425001e-05,1.0108259344883543
0.2211,1.009888488,0.00034375395341700005,1.010232241953417
0.23115,1.0086112260000002,0.00077344639518825,1.0093846723951885
0.2412,1.006482456,0.0021484622088562494,1.0086309182088564
0.25125,1.003927932,0.003093785580753,1.007021717580753
0.2613,1.000947654,0.004210955700553001,1.005158609700553
0.27135,0.9971158680000001,0.0069609786910720005,1.0040768466910721
0.2814,0.9924325740000002,0.010398509588425,1.002831083588425
0.29145,0.9873235260000001,0.012375142323012,0.999698668323012
0.3015,0.9813629700000001,0.016843943717433,0.9982069137174331
0.31155,0.97497666,0.019336095103633003,0.994312755103633
0.3216,0.968164596,0.022000253018688003,0.9901648490186881
0.33165,0.9605010240000001,0.027844070226777,0.9883450942267772
0.3417,0.9519859440000001,0.03437539534169999,0.9863613393417001
0.35175,0.94304511,0.0378987826777,0.9809438926777
0.3618,0.9328270140000001,0.049500569292048,0.9823275832920482
0.37185,0.9221831640000001,0.053711447261248,0.9758946112612481
0.3819,0.9115393140000001,0.053711447261248,0.9652507612612481
0.39195,0.9004697100000001,0.058094418127473006,0.958564128127473
0.402,0.8881228440000001,0.072274143472132,0.9603969874721321
0.41205,0.8753502240000002,0.07734463951882499,0.9526948635188252
0.4221,0.86215185,0.082586753437825,0.944738603437825
0.43215,0.8476762140000001,0.09934489253751301,0.9470211065375131
0.4422,0.8327748240000001,0.10527449708971301,0.9380493210897132
0.45225,0.8178734340000001,0.10527449708971301,0.9231479310897132
0.4623,0.8025462900000001,0.111376280907108,0.9139225709071082
0.47235,0.786367638,0.124095177183537,0.910462815183537
0.4824,0.7697632320000001,0.130712272368937,0.9004755043689371
0.49245,0.7523073180000001,0.14446242186879998,0.8967697398688
0.5025,0.733999896,0.15890007927549696,0.892899975275497
0.51255,0.71526672,0.166376913453828,0.881643633453828
0.5226,0.695682036,0.181845841357593,0.877527877357593
0.53265,0.6756715980000001,0.189837917809393,0.8655095158093931
0.5427,0.655235406,0.198002277168192,0.8532376831681919
0.55275,0.6339477059999999,0.21484622088562502,0.8487939268856249
0.5628,0.611808498,0.23237946897129994,0.8441879669712999
0.57285,0.589243536,0.2414028159193,0.8306463519193
0.5829,0.5662528200000001,0.2505980312073,0.8168508512073
0.59295,0.542410596,0.2695040668033,0.8119146628033
0.603,0.518142618,0.27921488711130005,0.7973575051113001
0.61305,0.492597378,0.30937855807529996,0.8019759360752999
0.6231,0.46662638399999995,0.31977685174329995,0.7864032357433
0.63315,0.4398038819999999,0.3410890440993,0.7808929260992999
0.6432,0.412555626,0.35200294278730004,0.7645585687873
0.65325,0.38445586200000004,0.37434634518330007,0.7588022071833
0.6633,0.356356098,0.37434634518330007,0.7307024431833
0.67335,0.32740482600000004,0.3973772209393,0.7247820469393
0.6834,0.29802779999999995,0.4091504613273,0.7071782613272999
0.69345,0.267799266,0.43321867926120006,0.7010179452612
0.7035,0.23714497800000003,0.4455076110351999,0.6826525890352
0.71355,0.20649068999999998,0.4455076110351999,0.6519983010352
0.7236,0.17541064799999997,0.4579684111492,0.6333790591492
0.73365,0.143904852,0.47060107960319997,0.6145059316032
0.7437,0.11282481,0.4579684111492,0.5707932211492
0.75375,0.08217052199999994,0.4455076110351999,0.5276781330351998
0.7638,0.05151623400000001,0.4455076110351999,0.4970238450351999
0.77385,0.023842223999999978,0.36308870981530006,0.3869309338153
0.7839,0.0029802779999999083,0.206338098936592,0.20931837693659192
0.79395,-0.011069604000000082,0.093586871310352,0.08251726731035192
0.804,-0.01915893000000002,0.031023712246176994,0.011864782246176975
0.81405,-0.020436192,0.00077344639518825,-0.019662745604811748
0.8241,-0.018307421999999993,0.0021484622088562494,-0.016158959791143745
0.83415,-0.01617865199999999,0.0021484622088562494,-0.014030189791143743
0.8442,-0.014475636000000063,0.0013750158136680002,-0.013100620186332063
0.85425,-0.01234686600000006,0.0021484622088562494,-0.010198403791143812
0.8643,-0.01064385000000001,0.0013750158136680002,-0.00926883418633201
0.87435,-0.00894083400000008,0.0013750158136680002,-0.007565818186332079
0.8844,-0.007237818000000031,0.0013750158136680002,-0.005862802186332031
0.89445,-0.0055348020000001,0.0013750158136680002,-0.0041597861863320994
0.9045,-0.004257540000000004,0.00077344639518825,-0.0034840936048117542
