index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
95,105,0,0.96,-483,-0.483,0,0,0,-0.509091
96,106,0,0.97,-483,-0.483,0,0,0,-0.745454
97,107,0,0.98,-483,-0.4832,0,-0.02,0,-0.909091
98,108,0,0.99,-483,-0.4834,0,-0.02,0,-1
99,109,0,1,-484,-0.4838,-1,-0.04,-1,-1.01818
100,110,0,1.01,-484,-0.4844,0,-0.06,1,-0.872727
101,111,0,1.02,-485,-0.4852,-1,-0.08,-1,-0.581818
102,112,0,1.03,-486,-0.486,-1,-0.08,0,-0.163636
103,113,0,1.04,-487,-0.4868,-1,-0.08,0,0.163636
104,114,0,1.05,-488,-0.4876,-1,-0.08,0,0.581818
105,115,0,1.06,-488,-0.4882,0,-0.06,1,0.872727
106,116,0,1.07,-489,-0.4886,-1,-0.04,-1,1.01818
107,117,0,1.08,-489,-0.4888,0,-0.02,1,1
108,118,0,1.09,-489,-0.489,0,-0.02,0,0.909091
109,119,0,1.1,-489,-0.489,0,0,0,0.745454
110,120,0,1.11,-489,-0.489,0,0,0,0.509091
111,121,0,1.12,-489,-0.489,0,0,0,0.309091
112,122,0,1.13,-489,-0.489,0,0,0,0.163636
113,123,0,1.14,-489,-0.489,0,0,0,0.0909091
114,124,0,1.15,-489,-0.489,0,0,0,0
115,125,0,1.16,-489,-0.489,0,0,0,0
116,126,0,1.17,-489,-0.489,0,0,0,0
117,127,0,1.18,-489,-0.489,0,0,0,0
118,128,0,1.19,-489,-0.489,0,0,0,0
119,129,0,1.2,-489,-0.489,0,0,0,0
120,130,0,1.21,-489,-0.489,0,0,0,0
121,131,0,1.22,-489,-0.489,0,0,0,0
122,132,0,1.23,-489,-0.489,0,0,0,0
123,133,0,1.24,-489,-0.489,0,0,0,0
124,134,0,1.25,-489,-0.489,0,0,0,0
125,135,0,1.26,-489,-0.489,0,0,0,0
126,136,0,1.27,-489,-0.489,0,0,0,0
127,137,0,1.28,-489,-0.489,0,0,0,0
128,138,0,1.29,-489,-0.489,0,0,0,0
129,139,0,1.3,-489,-0.489,0,0,0,0
130,140,0,1.31,-489,-0.489,0,0,0,0
131,141,0,1.32,-489,-0.489,0,0,0,0
132,142,0,1.33,-489,-0.489,0,0,0,0
133,143,0,1.34,-489,-0.489,0,0,0,0
134,144,0,1.35,-489,-0.489,0,0,0,0
135,145,0,1.36,-489,-0.489,0,0,0,0
136,146,0,1.37,-489,-0.489,0,0,0,0
137,147,0,1.38,-489,-0.489,0,0,0,0
138,148,0,1.39,-489,-0.489,0,0,0,0
139,149,0,1.4,-489,-0.489,0,0,0,0
140,150,0,1.41,-489,-0.489,0,0,0,0
141,151,0,1.42,-489,-0.489,0,0,0,0
142,152,0,1.43,-489,-0.489,0,0,0,0
143,153,0,1.44,-489,-0.489,0,0,0,0
144,154,0,1.45,-489,-0.489,0,0,0,0
145,155,0,1.46,-489,-0.489,0,0,0,0
