index, frame, sample, time, raw[0], cal[0]
0,10,0,0.005,1604,-3.26786
1,10,1,0.01,1604,-3.26786
2,11,0,0.015,1604,-3.26786
3,11,1,0.02,1604,-3.26786
4,12,0,0.025,1604,-3.26786
5,12,1,0.03,1605,-3.25253
6,13,0,0.035,1604,-3.26786
7,13,1,0.04,1604,-3.26786
8,14,0,0.045,1604,-3.26786
9,14,1,0.05,1605,-3.25253
10,15,0,0.055,1605,-3.25253
11,15,1,0.06,1604,-3.26786
12,16,0,0.065,1605,-3.25253
13,16,1,0.07,1605,-3.25253
14,17,0,0.075,1608,-3.20653
15,17,1,0.08,1617,-3.06854
16,18,0,0.085,1634,-2.80788
17,18,1,0.09,1638,-2.74655
18,19,0,0.095,1638,-2.74655
19,19,1,0.1,1638,-2.74655
20,20,0,0.105,1663,-2.36323
21,20,1,0.11,1651,-2.54722
22,21,0,0.115,1643,-2.66989
23,21,1,0.12,1669,-2.27124
24,22,0,0.125,1636,-2.77722
25,22,1,0.13,1627,-2.91521
26,23,0,0.135,1619,-3.03787
27,23,1,0.14,1637,-2.76188
28,24,0,0.145,1617,-3.06854
29,24,1,0.15,1660,-2.40923
30,25,0,0.155,1635,-2.79255
31,25,1,0.16,1629,-2.88454
32,26,0,0.165,1644,-2.65455
33,26,1,0.17,1622,-2.99187
34,27,0,0.175,1644,-2.65455
35,27,1,0.18,1647,-2.60856
36,28,0,0.185,1647,-2.60856
37,28,1,0.19,1646,-2.62389
38,29,0,0.195,1615,-3.0992
39,30,0,0.2,1609,-3.1912
40,30,1,0.205,1639,-2.73122
41,31,0,0.21,1640,-2.71588
42,31,1,0.215,1627,-2.91521
43,32,0,0.22,1612,-3.1452
44,32,1,0.225,1627,-2.91521
45,33,0,0.23,1644,-2.65455
46,33,1,0.235,1649,-2.57789
47,34,0,0.24,1647,-2.60856
48,34,1,0.245,1629,-2.88454
49,34,2,0.25,1632,-2.83855
50,35,0,0.255,1634,-2.80788
51,35,1,0.26,1635,-2.79255
52,36,0,0.265,1642,-2.68522
53,36,1,0.27,1646,-2.62389
54,37,0,0.275,1631,-2.85388
55,37,1,0.28,1638,-2.74655
56,38,0,0.285,1642,-2.68522
57,38,1,0.29,1636,-2.77722
58,39,0,0.295,1634,-2.80788
59,39,1,0.3,1630,-2.86921
60,40,0,0.305,1631,-2.85388
61,40,1,0.31,1632,-2.83855
62,41,0,0.315,1637,-2.76188
63,41,1,0.32,1635,-2.79255
64,42,0,0.325,1644,-2.65455
65,42,1,0.33,1647,-2.60856
66,43,0,0.335,1645,-2.63922
67,43,1,0.34,1648,-2.59322
68,44,0,0.345,1653,-2.51656
69,44,1,0.35,1656,-2.47056
70,45,0,0.355,1655,-2.48589
71,45,1,0.36,1650,-2.56256
72,46,0,0.365,1637,-2.76188
73,46,1,0.37,1637,-2.76188
74,47,0,0.375,1623,-2.97654
75,47,1,0.38,1631,-2.85388
76,48,0,0.385,1626,-2.93054
77,48,1,0.39,1627,-2.91521
78,49,0,0.395,1635,-2.79255
79,49,1,0.4,1636,-2.77722
80,50,0,0.405,1649,-2.57789
81,50,1,0.41,1643,-2.66989
82,51,0,0.415,1638,-2.74655
83,51,1,0.42,1659,-2.42456
84,52,0,0.425,1650,-2.56256
85,52,1,0.43,1646,-2.62389
86,53,0,0.435,1657,-2.45523
87,53,1,0.44,1643,-2.66989
88,54,0,0.445,1638,-2.74655
89,54,1,0.45,1637,-2.76188
90,55,0,0.455,1636,-2.77722
91,55,1,0.46,1629,-2.88454
92,56,0,0.465,1631,-2.85388
93,56,1,0.47,1646,-2.62389
94,57,0,0.475,1645,-2.63922
95,57,1,0.48,1635,-2.79255
96,58,0,0.485,1645,-2.63922
97,58,1,0.49,1658,-2.4399
98,59,0,0.495,1651,-2.54722
99,59,1,0.5,1638,-2.74655
100,60,0,0.505,1632,-2.83855
101,60,1,0.51,1638,-2.74655
102,61,0,0.515,1648,-2.59322
103,61,1,0.52,1648,-2.59322
104,62,0,0.525,1635,-2.79255
105,62,1,0.53,1625,-2.94588
106,63,0,0.535,1628,-2.89988
107,63,1,0.54,1626,-2.93054
108,64,0,0.545,1637,-2.76188
109,64,1,0.55,1636,-2.77722
110,65,0,0.555,1634,-2.80788
111,65,1,0.56,1635,-2.79255
112,66,0,0.565,1644,-2.65455
113,66,1,0.57,1646,-2.62389
114,67,0,0.575,1647,-2.60856
115,67,1,0.58,1648,-2.59322
116,68,0,0.585,1648,-2.59322
117,68,1,0.59,1673,-2.2099
118,69,0,0.595,1703,-1.74992
119,69,1,0.6,1726,-1.39727
120,70,0,0.605,1741,-1.16728
121,70,1,0.61,1748,-1.05995
122,71,0,0.615,1752,-0.99862
123,71,1,0.62,1751,-1.01395
124,72,0,0.625,1750,-1.02929
125,72,1,0.63,1746,-1.09062
126,73,0,0.635,1742,-1.15195
127,73,1,0.64,1738,-1.21328
128,74,0,0.645,1735,-1.25928
129,74,1,0.65,1733,-1.28994
130,75,0,0.655,1732,-1.30527
131,75,1,0.66,1731,-1.32061
132,76,0,0.665,1730,-1.33594
133,76,1,0.67,1729,-1.35127
134,77,0,0.675,1729,-1.35127
135,77,1,0.68,1728,-1.36661
136,78,0,0.685,1728,-1.36661
137,78,1,0.69,1728,-1.36661
138,79,0,0.695,1728,-1.36661
139,79,1,0.7,1728,-1.36661
140,80,0,0.705,1728,-1.36661
141,81,0,0.71,1728,-1.36661
142,81,1,0.715,1728,-1.36661
143,82,0,0.72,1729,-1.35127
144,82,1,0.725,1729,-1.35127
145,83,0,0.73,1729,-1.35127
146,83,1,0.735,1729,-1.35127
147,84,0,0.74,1731,-1.32061
148,84,1,0.745,1731,-1.32061
149,85,0,0.75,1732,-1.30527
150,85,1,0.755,1731,-1.32061
151,86,0,0.76,1731,-1.32061
152,86,1,0.765,1732,-1.30527
153,86,2,0.77,1732,-1.30527
154,87,0,0.775,1732,-1.30527
155,87,1,0.78,1732,-1.30527
156,88,0,0.785,1732,-1.30527
157,88,1,0.79,1732,-1.30527
158,89,0,0.795,1731,-1.32061
159,89,1,0.8,1731,-1.32061
160,90,0,0.805,1731,-1.32061
161,90,1,0.81,1731,-1.32061
162,91,0,0.815,1731,-1.32061
163,91,1,0.82,1730,-1.33594
164,92,0,0.825,1731,-1.32061
165,92,1,0.83,1731,-1.32061
166,93,0,0.835,1731,-1.32061
167,93,1,0.84,1731,-1.32061
168,94,0,0.845,1730,-1.33594
169,94,1,0.85,1731,-1.32061
170,95,0,0.855,1731,-1.32061
171,95,1,0.86,1731,-1.32061
172,96,0,0.865,1731,-1.32061
173,96,1,0.87,1731,-1.32061
174,97,0,0.875,1731,-1.32061
175,97,1,0.88,1731,-1.32061
176,98,0,0.885,1730,-1.33594
177,98,1,0.89,1730,-1.33594
178,99,0,0.895,1730,-1.33594
179,99,1,0.9,1731,-1.32061
180,100,0,0.905,1730,-1.33594
181,100,1,0.91,1729,-1.35127
182,101,0,0.915,1728,-1.36661
183,101,1,0.92,1726,-1.39727
184,102,0,0.925,1725,-1.4126
185,102,1,0.93,1722,-1.4586
186,103,0,0.935,1719,-1.5046
187,103,1,0.94,1717,-1.53527
188,104,0,0.945,1710,-1.64259
189,104,1,0.95,1704,-1.73459
190,105,0,0.955,1697,-1.84192
191,105,1,0.96,1692,-1.91858
192,106,0,0.965,1681,-2.08724
193,106,1,0.97,1672,-2.22524
194,107,0,0.975,1670,-2.2559
195,107,1,0.98,1669,-2.27124
196,108,0,0.985,1672,-2.22524
197,108,1,0.99,1679,-2.11791
198,109,0,0.995,1688,-1.97991
199,109,1,1,1698,-1.82659
200,110,0,1.005,1701,-1.78059
201,110,1,1.01,1702,-1.76526
202,111,0,1.015,1702,-1.76526
203,111,1,1.02,1706,-1.70393
204,112,0,1.025,1706,-1.70393
205,112,1,1.03,1705,-1.71926
206,113,0,1.035,1705,-1.71926
207,113,1,1.04,1706,-1.70393
208,114,0,1.045,1706,-1.70393
209,114,1,1.05,1706,-1.70393
210,115,0,1.055,1701,-1.78059
211,115,1,1.06,1695,-1.87259
212,116,0,1.065,1688,-1.97991
213,116,1,1.07,1684,-2.04124
214,117,0,1.075,1685,-2.02591
215,117,1,1.08,1687,-1.99525
216,118,0,1.085,1691,-1.93392
217,118,1,1.09,1698,-1.82659
218,119,0,1.095,1703,-1.74992
219,119,1,1.1,1707,-1.68859
220,120,0,1.105,1708,-1.67326
221,120,1,1.11,1709,-1.65793
222,121,0,1.115,1710,-1.64259
223,121,1,1.12,1710,-1.64259
224,122,0,1.125,1710,-1.64259
225,122,1,1.13,1710,-1.64259
226,123,0,1.135,1710,-1.64259
227,123,1,1.14,1709,-1.65793
228,124,0,1.145,1709,-1.65793
229,124,1,1.15,1710,-1.64259
230,125,0,1.155,1710,-1.64259
231,125,1,1.16,1708,-1.67326
232,126,0,1.165,1707,-1.68859
233,126,1,1.17,1705,-1.71926
234,127,0,1.175,1704,-1.73459
235,127,1,1.18,1704,-1.73459
236,128,0,1.185,1704,-1.73459
237,128,1,1.19,1704,-1.73459
238,129,0,1.195,1704,-1.73459
239,129,1,1.2,1706,-1.70393
240,130,0,1.205,1706,-1.70393
241,130,1,1.21,1706,-1.70393
242,131,0,1.215,1706,-1.70393
243,132,0,1.22,1707,-1.68859
244,132,1,1.225,1709,-1.65793
245,133,0,1.23,1708,-1.67326
246,133,1,1.235,1708,-1.67326
247,134,0,1.24,1708,-1.67326
248,134,1,1.245,1707,-1.68859
249,135,0,1.25,1708,-1.67326
250,135,1,1.255,1708,-1.67326
251,136,0,1.26,1706,-1.70393
252,136,1,1.265,1705,-1.71926
253,137,0,1.27,1705,-1.71926
254,137,1,1.275,1706,-1.70393
255,137,2,1.28,1706,-1.70393
256,138,0,1.285,1706,-1.70393
257,138,1,1.29,1706,-1.70393
258,139,0,1.295,1706,-1.70393
259,139,1,1.3,1707,-1.68859
260,140,0,1.305,1708,-1.67326
261,140,1,1.31,1707,-1.68859
262,141,0,1.315,1707,-1.68859
263,141,1,1.32,1706,-1.70393
264,142,0,1.325,1707,-1.68859
265,142,1,1.33,1708,-1.67326
266,143,0,1.335,1707,-1.68859
267,143,1,1.34,1706,-1.70393
268,144,0,1.345,1706,-1.70393
269,144,1,1.35,1707,-1.68859
270,145,0,1.355,1707,-1.68859
271,145,1,1.36,1707,-1.68859
272,146,0,1.365,1706,-1.70393
273,146,1,1.37,1708,-1.67326
274,147,0,1.375,1706,-1.70393
275,147,1,1.38,1708,-1.67326
276,148,0,1.385,1707,-1.68859
277,148,1,1.39,1707,-1.68859
278,149,0,1.395,1707,-1.68859
279,149,1,1.4,1707,-1.68859
280,150,0,1.405,1708,-1.67326
281,150,1,1.41,1707,-1.68859
282,151,0,1.415,1707,-1.68859
283,151,1,1.42,1706,-1.70393
284,152,0,1.425,1707,-1.68859
285,152,1,1.43,1707,-1.68859
286,153,0,1.435,1707,-1.68859
287,153,1,1.44,1706,-1.70393
288,154,0,1.445,1706,-1.70393
289,154,1,1.45,1706,-1.70393
290,155,0,1.455,1707,-1.68859
291,155,1,1.46,1707,-1.68859
