index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,-2,-0.00433333,-2,-0.233333,-2,-2.33333
1,11,0,0.02,-4,-0.0055,-2,-0.225,0,-2.33333
2,12,0,0.03,-7,-0.0068,-3,-0.24,-1,-2.43636
3,13,0,0.04,-9,-0.0094,-2,-0.26,1,-2.54545
4,14,0,0.05,-12,-0.0124,-3,-0.3,-1,-2.51948
5,15,0,0.06,-15,-0.0154,-3,-0.3,0,-2.61818
6,16,0,0.07,-19,-0.0188,-4,-0.34,-1,-2.80606
7,17,0,0.08,-22,-0.0226,-3,-0.38,1,-2.76364
8,18,0,0.09,-26,-0.0266,-4,-0.4,-1,-2.8
9,19,0,0.1,-31,-0.0308,-5,-0.42,-1,-2.76364
10,20,0,0.11,-35,-0.0354,-4,-0.46,1,-2.85455
11,21,0,0.12,-40,-0.0404,-5,-0.5,-1,-2.76364
12,22,0,0.13,-45,-0.0454,-5,-0.5,0,-2.78182
13,23,0,0.14,-51,-0.0508,-6,-0.54,-1,-2.90909
14,24,0,0.15,-56,-0.0564,-5,-0.56,1,-2.94545
15,25,0,0.16,-62,-0.0624,-6,-0.6,-1,-2.89091
16,26,0,0.17,-68,-0.0686,-6,-0.62,0,-2.76364
17,27,0,0.18,-75,-0.0752,-7,-0.66,-1,-2.78182
18,28,0,0.19,-82,-0.0822,-7,-0.7,0,-2.63636
19,29,0,0.2,-89,-0.0894,-7,-0.72,0,-2.61818
20,30,0,0.21,-97,-0.0968,-8,-0.74,-1,-2.52727
21,31,0,0.22,-104,-0.1042,-7,-0.74,1,-2.65455
22,32,0,0.23,-112,-0.112,-8,-0.78,-1,-2.69091
23,33,0,0.24,-119,-0.12,-7,-0.8,1,-2.74545
24,34,0,0.25,-128,-0.1284,-9,-0.84,-2,-2.83636
25,35,0,0.26,-137,-0.137,-9,-0.86,0,-2.96364
26,36,0,0.27,-146,-0.1462,-9,-0.92,0,-3.01818
27,37,0,0.28,-155,-0.1556,-9,-0.94,0,-2.89091
28,38,0,0.29,-165,-0.1652,-10,-0.96,-1,-2.87273
29,39,0,0.3,-175,-0.175,-10,-0.98,0,-2.85455
30,40,0,0.31,-185,-0.1852,-10,-1.02,0,-2.83636
31,41,0,0.32,-195,-0.1956,-10,-1.04,0,-2.81818
32,42,0,0.33,-206,-0.2062,-11,-1.06,-1,-2.90909
33,43,0,0.34,-217,-0.2172,-11,-1.1,0,-3.01818
34,44,0,0.35,-228,-0.2286,-11,-1.14,0,-3.12727
35,45,0,0.36,-240,-0.2402,-12,-1.16,-1,-3.12727
36,46,0,0.37,-252,-0.2522,-12,-1.2,0,-3.03636
37,47,0,0.38,-264,-0.2644,-12,-1.22,0,-3.05455
38,48,0,0.39,-277,-0.277,-13,-1.26,-1,-2.96364
39,49,0,0.4,-289,-0.29,-12,-1.3,1,-2.78182
40,50,0,0.41,-303,-0.3032,-14,-1.32,-2,-2.72727
41,51,0,0.42,-317,-0.3164,-14,-1.32,0,-2.69091
42,52,0,0.43,-330,-0.3302,-13,-1.38,1,-2.49091
43,53,0,0.44,-343,-0.3442,-13,-1.4,0,-1.61818
44,54,0,0.45,-358,-0.3582,-15,-1.4,-2,0.0545454
45,55,0,0.46,-373,-0.3726,-15,-1.44,0,2.4
46,56,0,0.47,-387,-0.3874,-14,-1.48,1,5.38182
47,57,0,0.48,-402,-0.402,-15,-1.46,-1,9.23636
48,58,0,0.49,-417,-0.4154,-15,-1.34,0,12.8909
49,59,0,0.5,-431,-0.4268,-14,-1.14,1,15.9455
50,60,0,0.51,-440,-0.436,-9,-0.92,5,18.2727
51,61,0,0.52,-444,-0.4428,-4,-0.68,5,19.4545
52,62,0,0.53,-448,-0.4464,-4,-0.36,0,18.9091
53,63,0,0.54,-451,-0.4478,-3,-0.14,1,16.9273
54,64,0,0.55,-449,-0.4478,2,-1.19209e-08,5,14.0727
55,65,0,0.56,-447,-0.4466,2,0.12,0,10.8909
56,66,0,0.57,-444,-0.4444,3,0.22,1,7.67273
57,67,0,0.58,-442,-0.4422,2,0.22,-1,4.72727
58,68,0,0.59,-440,-0.44,2,0.22,0,2.70909
59,69,0,0.6,-438,-0.4378,2,0.22,0,1.18182
60,70,0,0.61,-436,-0.4356,2,0.22,0,0.127273
61,71,0,0.62,-433,-0.4334,3,0.22,1,-0.436364
62,72,0,0.63,-431,-0.4312,2,0.22,-1,-0.690909
63,73,0,0.64,-429,-0.429,2,0.22,0,-1.05455
64,74,0,0.65,-427,-0.4272,2,0.18,0,-1.4
65,75,0,0.66,-425,-0.4254,2,0.18,0,-1.8
66,76,0,0.67,-424,-0.4236,1,0.18,-1,-2.30909
67,77,0,0.68,-422,-0.4222,2,0.14,1,-2.6
68,78,0,0.69,-420,-0.4212,2,0.1,0,-2.85455
69,79,0,0.7,-420,-0.4204,0,0.08,-2,-2.85455
70,80,0,0.71,-420,-0.42,0,0.04,0,-3
71,81,0,0.72,-420,-0.4202,0,-0.02,0,-2.89091
72,82,0,0.73,-420,-0.4204,0,-0.02,0,-2.61818
73,83,0,0.74,-421,-0.421,-1,-0.06,-1,-2.29091
74,84,0,0.75,-421,-0.4216,0,-0.06,1,-2.03636
75,85,0,0.76,-423,-0.4226,-2,-0.1,-2,-1.58182
76,86,0,0.77,-423,-0.4236,0,-0.1,2,-1.25455
77,87,0,0.78,-425,-0.4248,-2,-0.12,-2,-1.18182
78,88,0,0.79,-426,-0.426,-1,-0.12,1,-0.890909
79,89,0,0.8,-427,-0.4274,-1,-0.14,0,-0.8
80,90,0,0.81,-429,-0.4286,-2,-0.12,-1,-0.709091
81,91,0,0.82,-430,-0.43,-1,-0.14,1,-0.727273
82,92,0,0.83,-431,-0.4316,-1,-0.16,0,-0.672727
83,93,0,0.84,-433,-0.433,-2,-0.14,-1,-0.836364
84,94,0,0.85,-435,-0.4346,-2,-0.16,0,-0.909091
85,95,0,0.86,-436,-0.4364,-1,-0.18,1,-1
86,96,0,0.87,-438,-0.4382,-2,-0.18,-1,-0.909091
87,97,0,0.88,-440,-0.44,-2,-0.18,0,-0.836364
88,98,0,0.89,-442,-0.4422,-2,-0.22,0,-0.527273
89,99,0,0.9,-444,-0.4444,-2,-0.22,0,0.0727273
90,100,0,0.91,-447,-0.4466,-3,-0.22,-1,0.727273
91,101,0,0.92,-449,-0.4488,-2,-0.22,1,1.38182
92,102,0,0.93,-451,-0.451,-2,-0.22,0,2.09091
93,103,0,0.94,-453,-0.4526,-2,-0.16,0,2.63636
94,104,0,0.95,-455,-0.4538,-2,-0.12,0,2.8
95,105,0,0.96,-455,-0.4546,0,-0.08,2,2.76364
96,106,0,0.97,-455,-0.455,0,-0.04,0,2.52727
97,107,0,0.98,-455,-0.455,0,0,0,2.09091
98,108,0,0.99,-455,-0.455,0,0,0,1.45455
99,109,0,1,-455,-0.455,0,0,0,0.945455
100,110,0,1.01,-455,-0.455,0,0,0,0.509091
101,111,0,1.02,-455,-0.455,0,0,0,0.181818
102,112,0,1.03,-455,-0.455,0,0,0,0
103,113,0,1.04,-455,-0.455,0,0,0,0
104,114,0,1.05,-455,-0.455,0,0,0,0
105,115,0,1.06,-455,-0.455,0,0,0,0
106,116,0,1.07,-455,-0.455,0,0,0,0
107,117,0,1.08,-455,-0.455,0,0,0,0
108,118,0,1.09,-455,-0.455,0,0,0,0
109,119,0,1.1,-455,-0.455,0,0,0,0
110,120,0,1.11,-455,-0.455,0,0,0,0
111,121,0,1.12,-455,-0.455,0,0,0,0
112,122,0,1.13,-455,-0.455,0,0,0,0
113,123,0,1.14,-455,-0.455,0,0,0,0
114,124,0,1.15,-455,-0.455,0,0,0,0
115,125,0,1.16,-455,-0.455,0,0,0,0
116,126,0,1.17,-455,-0.455,0,0,0,0
117,127,0,1.18,-455,-0.455,0,0,0,0
118,128,0,1.19,-455,-0.455,0,0,0,0
119,129,0,1.2,-455,-0.455,0,0,0,0
120,130,0,1.21,-455,-0.455,0,0,0,0
121,131,0,1.22,-455,-0.455,0,0,0,0
122,132,0,1.23,-455,-0.455,0,0,0,0
123,133,0,1.24,-455,-0.455,0,0,0,0
124,134,0,1.25,-455,-0.455,0,0,0,0
125,135,0,1.26,-455,-0.455,0,0,0,0
126,136,0,1.27,-455,-0.455,0,0,0,0
127,137,0,1.28,-455,-0.455,0,0,0,0
128,138,0,1.29,-455,-0.455,0,0,0,0
129,139,0,1.3,-455,-0.455,0,0,0,0
130,140,0,1.31,-455,-0.455,0,0,0,0
131,141,0,1.32,-455,-0.455,0,0,0,0
132,142,0,1.33,-455,-0.455,0,0,0,0
133,143,0,1.34,-455,-0.455,0,0,0,0
134,144,0,1.35,-455,-0.455,0,0,0,0
135,145,0,1.36,-455,-0.455,0,0,0,0
136,146,0,1.37,-455,-0.455,0,0,0,0
137,147,0,1.38,-455,-0.455,0,0,0,0
138,148,0,1.39,-455,-0.455,0,0,0,0
139,149,0,1.4,-455,-0.455,0,0,0,0
140,150,0,1.41,-455,-0.455,0,0,0,0
141,151,0,1.42,-455,-0.455,0,0,0,0
142,152,0,1.43,-455,-0.455,0,0,0,0
143,153,0,1.44,-455,-0.455,0,0,0,0
144,154,0,1.45,-455,-0.455,0,0,0,0
145,155,0,1.46,-455,-0.455,0,0,0,0
146,156,0,1.47,-455,-0.455,0,0,0,0
147,157,0,1.48,-455,-0.455,0,0,0,0
148,158,0,1.49,-455,-0.455,0,0,0,0
149,159,0,1.5,-455,-0.455,0,0,0,0
150,160,0,1.51,-455,-0.455,0,0,0,0
151,161,0,1.52,-455,-0.455,0,0,0,0
152,162,0,1.53,-455,-0.455,0,0,0,0
153,163,0,1.54,-455,-0.455,0,0,0,0
154,164,0,1.55,-455,-0.455,0,0,0,0
155,165,0,1.56,-455,-0.455,0,0,0,0
156,166,0,1.57,-455,-0.455,0,0,0,0
157,167,0,1.58,-455,-0.455,0,0,0,0
158,168,0,1.59,-455,-0.455,0,0,0,0
159,169,0,1.6,-455,-0.455,0,0,0,0
160,170,0,1.61,-455,-0.455,0,0,0,0
161,171,0,1.62,-455,-0.455,0,0,0,0
162,172,0,1.63,-455,-0.455,0,0,0,0
163,173,0,1.64,-455,-0.455,0,0,0,0
164,174,0,1.65,-455,-0.455,0,0,0,0
165,175,0,1.66,-455,-0.455,0,0,0,0
166,176,0,1.67,-455,-0.455,0,0,0,0
167,177,0,1.68,-455,-0.455,0,0,0,0
168,178,0,1.69,-455,-0.455,0,0,0,0
169,179,0,1.7,-455,-0.455,0,0,0,0
170,180,0,1.71,-455,-0.455,0,0,0,0
171,181,0,1.72,-455,-0.455,0,0,0,0
172,182,0,1.73,-455,-0.455,0,0,0,0
173,183,0,1.74,-455,-0.455,0,0,0,0
174,184,0,1.75,-455,-0.455,0,0,0,0
175,185,0,1.76,-455,-0.455,0,0,0,0
176,186,0,1.77,-455,-0.455,0,0,0,0
177,187,0,1.78,-455,-0.455,0,0,0,0
178,188,0,1.79,-455,-0.455,0,0,0,0
179,189,0,1.8,-455,-0.455,0,0,0,0
180,190,0,1.81,-455,-0.455,0,0,0,0
181,191,0,1.82,-455,-0.455,0,0,0,0
182,192,0,1.83,-455,-0.455,0,0,0,0
183,193,0,1.84,-455,-0.455,0,0,0,0
184,194,0,1.85,-455,-0.455,0,0,0,0
185,195,0,1.86,-455,-0.455,0,0,0,0
186,196,0,1.87,-455,-0.455,0,0,0,0
187,197,0,1.88,-455,-0.455,0,0,0,0
188,198,0,1.89,-455,-0.455,0,0,0,0
189,199,0,1.9,-455,-0.455,0,0,0,0
190,200,0,1.91,-455,-0.455,0,0,0,0
191,201,0,1.92,-455,-0.455,0,0,0,0
192,202,0,1.93,-455,-0.455,0,0,0,0
193,203,0,1.94,-455,-0.455,0,0,0,0
194,204,0,1.95,-455,-0.455,0,0,0,0
195,205,0,1.96,-455,-0.455,0,0,0,0
196,206,0,1.97,-455,-0.455,0,0,0,-0.0909091
197,207,0,1.98,-455,-0.455,0,0,0,-0.163636
198,208,0,1.99,-455,-0.455,0,0,0,-0.218182
199,209,0,2,-455,-0.455,0,0,0,-0.254545
200,210,0,2.01,-455,-0.455,0,0,0,-0.290909
201,211,0,2.02,-455,-0.4552,0,-0.02,0,-0.233333
202,212,0,2.03,-455,-0.4554,0,-0.02,0,-0.184416
203,213,0,2.04,-456,-0.4556,-1,-0.02,-1,-0.12987
204,214,0,2.05,-456,-0.4558,0,-0.02,1,-0.0363636
205,215,0,2.06,-456,-0.456,0,-0.025,0,0
206,216,0,2.07,-456,-0.456,0,0,0,0.0555556
